0 C C C C C C S C C C C C C S

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0
0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 1.5
0 0 0 0 1.5 0 1.5 1.5 0 0 0 0 0 0 0
0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 1.5 0
0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0
0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0
0 0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 1.5
0 0 0 0 1.5 0 0 0 0 0 0 0 0 1.5 0
