0 C C C C C C C N C N N C C C C C C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 0 0 1.5 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.5 0 0 0 1.5 0
0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0
0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
