0 C C C N P S N C C C N C C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 2.0 1.0 0 0 0 1.0 0 0 0
0 0 0 0 0 2.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 1.0 0 0 0 0 0 0 1.0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
