0 C S O O O C C C C O S C O O

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 2.0 2.0 1.0 0 0 0 0 0 0 0 0 0
0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 2.0 2.0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
