0 C C C C C O B O C C C C C O C C C C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
