0 Cl C C C C Cl C S S C C C Cl C C C Cl C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.0 1.5 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 0 1.0 0 0 0 0 0 0 0 0 0 1.5
0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 1.5 0 0 0 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.0 1.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 1.5 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0
0 0 1.5 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0
