0 C C C C C S S C C C C C C C C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 1.5
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.0 0 0 0 0 0 0 0 0 1.5 0
0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 1.5 0 0 0 0 1.5 0 0
0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 1.0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 1.5 0 0
0 0 0 0 0 0 0 0 1.5 0 0 0 0 1.5 0 0 0
0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 1.5
0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0
