0 O C O C C C C N O O C C S O O O

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 2.0 0 1.0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 1.5 0 0 0 0 0 0 1.5 0 0 0 0
0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.5 0 1.0 0 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.5 0 0 0 0 1.5 0 0 0 0
0 0 0 0 1.5 0 0 0 0 0 0 1.5 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 2.0 2.0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
