0 C C O P O N C C C C C Cl C O C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0 0 1.0 0 0
0 0 0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.5 0 0 0 0 1.5 0 0 0
0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 1.0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 0 0 0 0
0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
