0 C C C C C C Br C O C C C S O O O

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 1.0 0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 1.0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 1.0 0 0 2.0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 1.0 0 0 0 0 0 1.0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 2.0 2.0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
