0 C C O C O C O C C C C C C O

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 2.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 0 2.0 1.0 0 0 0 0 0 0
0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 0 1.0 0 0 0 1.0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0
0 0 0 0 0 0 0 0 1.0 0 0 0 1.0 0 2.0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0
