0 C C O C O C N S O O C C C C C C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 2.0 2.0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 0 0 1.5 0 0 0 1.5
0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5
0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 1.5 0
