0 C O C C C N N C C S C C C O C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.5 0 0 0 0 0 0 0 0 1.5 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.5 0 0 0 0 1.5 0 0 0 0
0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.5 0 1.0 1.5 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 0 0 1.5 0 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 1.5 0 0 0 0 0 0 0 0 1.5 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
