0 O C C C C Cl C C C C C C Cl C C C O C Cl Cl Cl

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.5 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 0 0 0 1.5 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 1.5 0 0 0 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.0 1.5 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 1.5 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 1.0 1.0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
