['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'N', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'O', 1.0]
['C', 'C', 1.5]
['N', 'N', 2.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['O', 'C', 1.0]
['N', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'O', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'O', 1.0]
['C', 'N', 1.0]
['O', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['N', 'N', 2.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'N', 1.0]
['N', 'C', 1.0]
['C', 'S', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'S', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['S', 'O', 2.0]
['S', 'O', 2.0]
['S', 'O', 1.0]
['S', 'O', 2.0]
['S', 'O', 2.0]
['S', 'O', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'O', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'N', 1.0]
['C', 'S', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'S', 1.0]
['S', 'O', 2.0]
['S', 'O', 2.0]
['S', 'O', 1.0]
['S', 'O', 2.0]
['S', 'O', 2.0]
['S', 'O', 1.0]
