['Fe', 'N', 1.0]
['Fe', 'Cl', 1.0]
['Fe', 'N', 1.0]
['Fe', 'N', 1.0]
['Fe', 'N', 1.0]
['N', 'C', 1.0]
['N', 'C', 1.0]
['N', 'C', 1.0]
['N', 'C', 1.0]
['N', 'C', 1.5]
['N', 'C', 1.5]
['N', 'C', 1.5]
['N', 'C', 1.5]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 2.0]
['C', 'C', 1.0]
['C', 'C', 2.0]
['C', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 2.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 2.0]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'O', 2.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'O', 2.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'O', 2.0]
['C', 'O', 1.0]
['C', 'O', 2.0]
['C', 'O', 1.0]
