0 C C C C C C C N C C O N C C C C C C Cl C C O O F

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0
0 0 0 0 1.5 0 1.5 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 0 2.0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 2.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0
0 0 0 0 0 0 0 0 0 1.0 0 2.0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 0 1.0 0 0 0 0 0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.5 0 0 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 1.0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 1.0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
