0 C N C C C C C C Cl C N C C O O C C C C C C Cl C

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 1.0
0 0 1.0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 1.5 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1.5 0 1.5 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 0 0 0 0 0 2.0 0 0 0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 2.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 1.0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 1.0 0 2.0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 1.5 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 1.5 0 1.0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
