0 C O C O C C N C O C C C F F F

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1.0 0 1.0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1.0 0 1.0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 1.0 0 0 1.0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 1.0 0 0 0 0 0 0 0
0 0 0 0 0 1.0 0 1.0 0 2.0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2.0 0 0 0 0 0 0 0
0 0 0 0 0 0 1.0 0 0 0 0 1.0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1.0 0 1.0 1.0 1.0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1.0 0 0 0
