0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.5987 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.5987 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.3584 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.3584 0 0 0 10.5 14.6543
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 0 0 14.6543 0 0 0 0
