0 A B C D N F G H I J K L Y

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.4681 21.4 16.9078 0 0 0 0 0 0 0 0 0
0 8.4681 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 0 9.2 0 0 0 0 0 0 0
0 16.9078 0 0 0 0 0 4.7 16.8745 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 16.8745 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.0885 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.0885 0 0 0 12.8947
0 0 0 0 0 0 0 0 0 0 0 0 12.8947 0
