0 A B C D E F G H I J K L H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.2409 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.028 9.2 0 0 0 0 0 0 0
0 15.2409 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.028 0 0 0 0 0 0 0 0 0 13.1543
0 0 0 9.2 0 0 0 0 0 17.6223 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 17.6223 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 13.1543 0 0 0 0 0 0 0 0
