0 A B C D E F G H I J K L J

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.4 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.0541 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.2826 0 0 0
0 0 0 0 5.0541 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.638 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.7164 0
0 0 0 0 0 0 7.2826 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.638 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.7164 0 0 0 12.6993
0 0 0 0 0 0 0 0 0 0 0 0 12.6993 0
