0 A B C D E F G H I J K L G

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.4518 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.4518 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.26 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.26 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 10.4001
0 0 0 0 0 0 0 0 0 0 0 0 10.4001 0
