0 A B C D E F G H I M K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7629 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7629 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.5314 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.5783 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.8082 0
0 0 0 0 0 0 7.5314 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.5783 0 0 0 0 0
0 0 0 0 0 0 0 0 0 9.8082 0 0 0 9.9531
0 0 0 0 0 0 0 0 0 0 0 0 9.9531 0
