0 A B C D E F G H I J K L D

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.5919 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.5919 0 0 0 0 0 0 0 0 0 0 0 8.8017
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.2908 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.2908 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 0 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.7859 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.7859 0 0 0 0
0 0 8.8017 0 0 0 0 0 0 0 0 0 0 0
