0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.5054 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.5054 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 16.5545
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.8897 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.0589 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 0 0
0 0 0 0 0 0 6.8897 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.0589 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 16.5545 0 0 0 0 0 0 0 0 0
