0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.0529 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.0529 0 0 0 0 0 0 0 0 0 0 0 7.6846
0 21.4 0 0 0 14.9147 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.5512 15.8 0 0 0 0 0
0 0 0 14.9147 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.5512 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5845 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5845 0 0 0 0
0 0 7.6846 0 0 0 0 0 0 0 0 0 0 0
