0 A B C D E F G H I J K T T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.1949 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.1949 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.8753 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.8753 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.4555 6.8156 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.4555 0 9.2 0 0 0 10.5 17.2022
0 0 0 0 0 0 6.8156 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 0 0 17.2022 0 0 0 0
