0 A B C D E F G H I J K L L

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7963 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7963 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.0304 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.0304 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.0187 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.1106 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 5.9315
0 0 0 0 0 0 0 0 6.0187 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.1106 0 0 0 0
0 0 0 0 0 0 0 0 0 0 5.9315 0 0 0
