0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 76.2578 124.1 105.8 0 0 0 0 0 0 0 0 0
0 76.2578 0 0 0 0 0 0 0 0 0 0 0 85.2915
0 124.1 0 0 0 93.2759 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 45.0033 107.2 0 0 0 0 0
0 0 0 93.2759 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 61.1163 0 0 0
0 0 0 0 45.0033 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 61.1163 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 85.2915 0 0 0 0 0 0 0 0 0 0 0
