0 A O C D E F G H I J S L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 77.8551 124.1 105.8 0 0 0 0 0 0 0 0 0
0 77.8551 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 95.6361 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 95.6361 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 56.4345
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 56.4345 0 0 0 0 0 0
