0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 77.8249 124.1 105.8 0 0 0 0 0 0 0 0 0
0 77.8249 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 100.3239 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 100.3239 0 0 0 0 0 0 0 0 0 82.066
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 81.5904 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 81.5904 0 0 0 0
0 0 0 0 0 82.066 0 0 0 0 0 0 0 0
