0 A B C D E F G H I J B L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 115.8417 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 78.7415 0 0 0 0 0 0 0
0 115.8417 0 0 0 0 0 48.767 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 78.7415 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 48.767 0 0 0 0 0 0 0 0 56.2206
0 0 0 0 107.2 0 0 0 0 100.4352 0 59.3 0 0
0 0 0 0 0 0 109.5 0 100.4352 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 56.2206 0 0 0 0 0 0
