0 A X C D E F G H I J K L J

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 87.5141 82.348 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 87.5141 0 0 0 0 0 0 0 0 0 0
0 0 0 82.348 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 94.7197 0 59.3 0 0
0 0 0 0 0 0 109.5 0 94.7197 0 0 0 92.1584 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 92.1584 0 0 0 95.6904
0 0 0 0 0 0 0 0 0 0 0 0 95.6904 0
