0 A B C D E F G H I B K L V

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 75.6174 123.4565 105.8 0 0 0 0 0 0 0 0 0
0 75.6174 0 0 0 0 0 0 0 0 0 0 0 0
0 123.4565 0 0 0 0 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 120.2075 57.3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 120.2075 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
