0 A B C D E F G H I J K L I

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 69.4346 124.1 97.938 0 0 0 0 0 0 0 0 0
0 69.4346 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 146.1053
0 97.938 0 0 0 0 0 45.2017 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 0 0 0 0
0 0 0 0 45.2017 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 146.1053 0 0 0 0 0 0 0 0 0 0
