0 A B C D E F G H I J N L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 69.4417 124.1 105.8 0 0 0 0 0 0 0 0 0
0 69.4417 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 86.3272 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 86.3272 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 59.5107 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 59.5107 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 63.9491
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 63.9491 0 0
