0 A B C D E F G H I J K L V

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 75.8406 124.1 105.8 0 0 0 0 0 0 0 0 0
0 75.8406 0 0 0 0 0 0 0 0 0 0 0 89.8336
0 124.1 0 0 0 0 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 60.3921 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 60.3921 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 89.8336 0 0 0 0 0 0 0 0 0 0 0
