0 A B C D E F G H I J K R H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 72.6344 124.1 105.8 0 0 0 0 0 0 0 0 0
0 72.6344 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 93.2461 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 93.2461 0 0 0 0 0 0 0 0 0 76.7208
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 87.5283 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 87.5283 0 0 0 0
0 0 0 0 0 76.7208 0 0 0 0 0 0 0 0
