0 A B C D E F G H I J K L I

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.4513 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 16.63
0 0 0 14.4513 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.6362 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.6362 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 16.63 0 0 0 0 0 0 0 0 0
