0 A B C D E F G H I J K L Y

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.9582 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.9582 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.1292 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.6356 15.8 0 0 0 0 0
0 0 0 14.1292 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.6356 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 7.5695
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 7.5695 0 0
