0 A B C D E F G H I J K L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.889 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.889 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.2525 15.8 0 0 0 0 16.5599
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.8612 0 0 0
0 0 0 0 4.2525 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 6.8612 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 16.5599 0 0 0 0 0 0 0 0 0
