0 A B C D E F G H I J K L C

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7571 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7571 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.933 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.3471 0 0 0
0 0 0 0 4.933 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.0215 0
0 0 0 0 0 0 7.3471 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.0215 0 0 0 12.1358
0 0 0 0 0 0 0 0 0 0 0 0 12.1358 0
