0 A B C D E F G H I J K L J

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.5442 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.5442 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.9574 9.2 0 0 0 0 0 0 25.5502
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.9574 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.7288 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4494 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 6.7288 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4494 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 25.5502 0 0 0 0 0 0 0 0 0 0
