0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7423 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7423 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.3475 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.3475 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4697 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.737 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4697 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.737 0 0 0 0 5.6259
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 5.6259 0 0
