0 A B C D E F G H I J K L L

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.6949 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.6949 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.1076 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7634 15.8 0 0 0 0 0
0 0 0 14.1076 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7634 0 0 0 0 0 0 0 0 4.3169
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.0192 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.0192 0 0 0 0
0 0 0 0 0 0 0 4.3169 0 0 0 0 0 0
