0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 15.0197 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 15.0197 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 5.6177
0 0 0 0 15.8 0 0 0 0 9.2 0 6.7705 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.4967 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.7705 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.4967 0 0 0 0
0 0 0 0 0 0 0 5.6177 0 0 0 0 0 0
