0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 72.2716 124.1 105.8 0 0 0 0 0 0 0 0 0
0 72.2716 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 56.6107 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 90.904 0
0 0 0 0 0 0 56.6107 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 90.904 0 0 0 87.217
0 0 0 0 0 0 0 0 0 0 0 0 87.217 0
