0 A B C D E F G H I J K L G

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 52.3806 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 48.8198
0 0 0 0 107.2 0 0 0 0 98.4 0 58.541 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 52.3806 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 58.541 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 48.8198 0 0 0 0 0 0
