0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.5639 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 93.5177
0 0 0 81.4 0 0 0 0 0 109.5 52.8168 0 0 0
0 0 0 0 44.5639 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 64.5676 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 89.0184 0
0 0 0 0 0 0 52.8168 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 64.5676 0 0 0 0 0
0 0 0 0 0 0 0 0 0 89.0184 0 0 0 0
0 0 0 0 0 93.5177 0 0 0 0 0 0 0 0
