0 A B C D E F G H I J K L O

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.6673 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 65.177 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 78.63 0
0 0 0 0 0 0 57.6673 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 65.177 0 0 0 0 0
0 0 0 0 0 0 0 0 0 78.63 0 0 0 67.8712
0 0 0 0 0 0 0 0 0 0 0 0 67.8712 0
