0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 68.3258 124.1 105.8 0 0 0 0 0 0 0 0 0
0 68.3258 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 88.9778 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 88.9778 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 62.5074 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 87.8553 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 62.5074 0 0 0 0 0
0 0 0 0 0 0 0 0 0 87.8553 0 0 0 73.3939
0 0 0 0 0 0 0 0 0 0 0 0 73.3939 0
