0 A B C D E F G H I J E L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 16.036 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 20.5776
0 16.036 0 0 0 0 0 4.3636 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.3636 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.5025 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.5025 0 0 0 0
0 0 0 20.5776 0 0 0 0 0 0 0 0 0 0
