0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 17.4627
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 15.1462 9.9074 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 15.1462 0 0 0 0 0 0 0 0 0 0
0 0 0 9.9074 0 0 0 0 0 16.1 6.7426 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.0038 0
0 0 0 0 0 0 6.7426 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.0038 0 0 0 0
0 17.4627 0 0 0 0 0 0 0 0 0 0 0 0
