0 A B C D E F G H I B K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.932 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.932 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.4548 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.4548 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 0 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 5.9356 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5.9356 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 10.6441
0 0 0 0 0 0 0 0 0 0 0 0 10.6441 0
