0 A B C D E F I H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.4916 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.4916 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.4773 10.0493 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.4773 0 0 0 0 0 0 0 0 0 0
0 0 0 10.0493 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 3.8853
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.3683 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.3683 0 0 0 0
0 0 0 0 0 0 0 3.8853 0 0 0 0 0 0
