0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 108.3607 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 108.3607 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 109.1264
0 0 0 0 0 0 109.5 0 98.4 0 0 0 85.9735 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 85.9735 0 0 0 0
0 0 0 0 0 0 0 0 109.1264 0 0 0 0 0
