0 A B C D F F G H I J K L V

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 73.6197 124.1 105.8 0 0 0 0 0 0 0 0 0
0 73.6197 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 58.2629 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 82.4423 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 58.2629 0 0 0 0 0
0 0 0 0 0 0 0 0 0 82.4423 0 0 0 71.4535
0 0 0 0 0 0 0 0 0 0 0 0 71.4535 0
