0 A B C D E F G H I J K L K

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.8572 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 43.0014 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.8572 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 43.0014 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 94.7519 0 59.3 0 107.1323
0 0 0 0 0 0 109.5 0 94.7519 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 107.1323 0 0 0 0 0
