0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 75.2159 124.1 105.8 0 0 0 0 0 0 0 0 0
0 75.2159 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 0 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 48.7419 107.2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 48.7419 0 0 0 0 0 0 0 0 56.4398
0 0 0 0 107.2 0 0 0 0 98.4 0 55.7966 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 80.239 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 55.7966 0 0 0 0 0
0 0 0 0 0 0 0 0 0 80.239 0 0 0 0
0 0 0 0 0 0 0 56.4398 0 0 0 0 0 0
