0 A B C D E F G H I V K L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 68.0454 124.1 105.8 0 0 0 0 0 0 0 0 0
0 68.0454 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 100.1638 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 100.1638 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 62.2394 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 62.2394 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 65.6047
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 65.6047 0 0
