0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 76.9784
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 106.4427 56.5919 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 100.3134 0 59.3 0 0
0 0 0 0 0 0 106.4427 0 100.3134 0 0 0 79.0747 0
0 0 0 0 0 0 56.5919 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 79.0747 0 0 0 0
0 0 76.9784 0 0 0 0 0 0 0 0 0 0 0
