0 A B C D E F G H I J K L U

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3531 124.1 97.8888 0 0 0 0 0 0 0 0 0
0 71.3531 0 0 0 0 0 0 0 0 0 0 0 78.116
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 97.8888 0 0 0 0 0 51.122 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 51.122 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 78.116 0 0 0 0 0 0 0 0 0 0 0
